	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1398	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	NA	NA	NA	NA
ASV_1399	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Cyperaceae	g__Carex	s__pilulifera
ASV_1400	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Anthyllis	s__lemanniana
ASV_1401	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	s__pyrenaica
ASV_1402	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Brassicales	f__Brassicaceae	g__Cardamine	s__flexuosa
ASV_1403	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	s__sepium
ASV_1404	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Plantaginaceae	g__Linaria	NA
ASV_1405	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Asparagales	f__Amaryllidaceae	g__Allium	s__iranicum
ASV_1406	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Ranunculales	f__Ranunculaceae	g__Clematis	s__montana
ASV_1407	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1408	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__pedunculatus
ASV_1409	NA	NA	NA	NA	NA	NA	NA
ASV_1410	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Pyrenophora	s__triseptata
ASV_1411	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Neptunomyces	s__aureus
ASV_1412	k__Eukaryota_kgd_Incertae_sedis	p__Eukaryota_phy_Incertae_sedis	c__Eukaryota_cls_Incertae_sedis	o__Eukaryota_ord_Incertae_sedis	f__Eukaryota_fam_Incertae_sedis	g__Eukaryota_gen_Incertae_sedis	NA
ASV_1413	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Ericales	f__Ericaceae	g__Acrothamnus	s__hookeri
ASV_1414	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Myrtales	f__Myrtaceae	g__Leptospermum	s__scoparium
ASV_1415	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Myrtales	f__Myrtaceae	g__Leptospermum	s__scoparium
ASV_1416	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Lamiaceae	g__Stachys	s__officinalis
ASV_1417	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	g__Periconia	s__verrucosa
ASV_1418	k__Viridiplantae	p__Chlorophyta	c__Trebouxiophyceae	o__Trebouxiales	f__Trebouxiaceae	g__Trebouxia	NA
ASV_1419	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Orobanchaceae	g__Lathraea	s__squamaria
ASV_1420	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Capnodiaceae	g__Heteroconium	NA
ASV_1421	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Myrtales	f__Myrtaceae	g__Leptospermum	s__scoparium
ASV_1422	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1423	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1424	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1425	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Ranunculales	f__Ranunculaceae	g__Aconitum	s__leucostomum
ASV_1426	k__Viridiplantae	p__Chlorophyta	c__Trebouxiophyceae	o__Watanabeales	f__watanabeaceae	g__Kalinella	s__apyrenoidosa
ASV_1427	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Rosales	f__Rosaceae	g__Rubus	s__rhamnifolius
ASV_1428	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Mucoraceae	g__Mucor	s__luteus
ASV_1429	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Calophoma	NA
ASV_1430	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	g__Hispidella	s__hispanica
ASV_1431	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Proteales	f__Proteaceae	g__Macadamia	s__integrifolia
ASV_1432	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Lamiaceae	NA	NA
ASV_1433	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Lamiaceae	g__Stachys	s__officinalis
ASV_1434	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	NA	NA	NA	NA
ASV_1435	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Ericales	f__Ericaceae	NA	NA
ASV_1436	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Orobanchaceae	g__Lathraea	s__squamaria
ASV_1437	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Orobanchaceae	g__Lathraea	s__squamaria
ASV_1438	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Orobanchaceae	g__Lathraea	s__squamaria
ASV_1439	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Orobanchaceae	g__Lathraea	s__squamaria
ASV_1440	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Brassicales	f__Brassicaceae	g__Sisymbrium	NA
ASV_1441	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	NA	NA
ASV_1442	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Monocotyledonae_ord_Incertae_sedis	f__Monocotyledonae_fam_Incertae_sedis	g__Monocotyledonae_gen_Incertae_sedis	NA
ASV_1443	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	NA
ASV_1444	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_1445	NA	NA	NA	NA	NA	NA	NA
ASV_1446	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__conimbricensis
ASV_1447	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1448	k__Viridiplantae	p__Bryophyta	c__Bryopsida	o__Grimmiales	f__Grimmiaceae	g__Racomitrium	s__pruinosum
ASV_1449	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	g__Agrostis	s__trachyphylla
ASV_1450	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	g__Festuca	NA
ASV_1451	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Lamiaceae	g__Stachys	s__officinalis
ASV_1452	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Lamiales	f__Lamiaceae	g__Stachys	s__officinalis
ASV_1453	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	g__Cirsium	s__boujartii
ASV_1454	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	g__Cirsium	s__boujartii
ASV_1455	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	g__Cirsium	s__boujartii
